Fase,FechaMedicion,Voltaje,Corriente,Potencia,FactorPotencia,Frecuencia,EnergiaActiva
1,2026-02-17 17:50:00,122.52,2.92,326.59,0.914,59.94,19.396
1,2026-02-17 18:00:00,121.71,3.808,417.32,0.901,59.97,19.468
1,2026-02-17 18:10:00,119.54,3.96,402.84,0.852,59.96,19.536
1,2026-02-17 18:20:00,119.34,5.498,517.78,0.794,59.97,19.622
1,2026-02-17 18:30:00,119.52,4.202,415.72,0.831,59.97,19.694
1,2026-02-17 18:40:00,118.77,5.311,505.46,0.809,59.96,19.779
1,2026-02-17 18:50:00,117.99,2.727,286.47,0.889,59.95,19.829
1,2026-02-17 19:00:00,116.8,4.677,502.638,0.915,59.962,19.885
1,2026-02-17 19:10:00,114.48,10.127,1131.55,0.968,59.93,20.083
1,2026-02-17 19:20:00,115.889,10.67,1187.622,0.943,59.989,20.271
1,2026-02-17 19:30:00,119.267,3.215,351.283,0.903,59.917,20.325
1,2026-02-17 19:40:00,117.844,4.002,422.444,0.896,59.933,20.397
1,2026-02-17 19:50:00,118.93,2.442,261.04,0.899,59.93,20.442
1,2026-02-17 20:00:00,118.738,4.694,504.262,0.901,59.95,20.533
1,2026-02-17 20:10:00,119.11,3.552,395.62,0.925,59.97,20.593
1,2026-02-17 20:20:00,118.52,5.053,545.52,0.91,59.93,20.686
1,2026-02-17 20:30:00,120.29,2.162,233.06,0.898,59.97,20.726
1,2026-02-17 20:40:00,119.79,3.566,373.95,0.875,59.95,20.788
1,2026-02-17 20:50:00,120.44,3.789,433.27,0.937,59.94,20.864
1,2026-02-17 21:00:00,120.07,6.879,804.44,0.969,59.94,20.996
1,2026-02-17 21:10:00,122.06,2.6,289.56,0.903,59.92,21.048
1,2026-02-17 21:20:00,122.16,3.104,331.99,0.879,59.96,21.103
1,2026-02-17 21:30:00,121.62,5.446,591.97,0.889,59.96,21.21
1,2026-02-17 21:40:00,122.04,5.943,646.28,0.88,59.98,21.323
1,2026-02-17 21:50:00,124.51,1.682,178.88,0.854,59.96,21.356
1,2026-02-17 22:00:00,120.48,3.301,328.89,0.827,59.98,21.41
1,2026-02-17 22:10:00,118.33,2.276,231.96,0.844,59.94,21.448
1,2026-02-17 22:20:00,118.69,2.935,288.78,0.828,59.98,21.496
1,2026-02-17 22:30:00,120.56,1.818,184.34,0.839,59.94,21.53
1,2026-02-17 22:40:00,119.412,2.619,259.45,0.832,59.95,21.577
1,2026-02-17 22:50:00,117.02,1.816,178.99,0.844,59.95,21.609
1,2026-02-17 23:00:00,116.03,3.253,325.26,0.852,59.94,21.655
1,2026-02-17 23:10:00,120.55,1.888,190.325,0.837,59.912,21.689
1,2026-02-17 23:20:00,120.125,2.749,276.425,0.837,59.962,21.737
